,name/ pos- ref- alt
663,ERR036197
664,ERR181716
665,SRR1183125
666,SRR1180372
667,SRR2099991
668,ERR551196
669,SRR1169216
670,SRR1169527
671,SRR1175478
672,SRR1167312
673,ERR551269
674,SRR1049742
675,SRR1169522
676,SRR671804
677,ERR1035077
678,SRR2100985
679,SRR1203935
680,ERR182003
681,SRR2100362
682,ERR161025
683,ERR163959
684,SRR2100113
685,SRR2101681
686,SRR2100891
687,SRR1163050
688,SRR1049615
689,ERR552713
690,SRR2100475
691,ERR552200
692,ERR1873399
693,SRR1169063
694,SRR1159308
695,ERR1035313
696,SRR2100496
697,SRR998804
698,SRR1169070
699,SRR1159810
700,SRR1165266
701,SRR1172102
702,SRR2101107
703,ERR176745
704,ERR688047
705,ERR036199
706,SRR671793
707,SRR998766
708,ERR553196
709,SRR1175511
710,ERR212095
711,ERR551102
712,SRR2100647
713,ERR1035240
714,SRR1002697
715,SRR2101763
716,ERR182045
717,ERR126609
718,SRR1047990
719,SRR2100242
720,SRR1162874
721,SRR1169050
722,SRR1159526
723,SRR1173294
724,SRR1172064
725,SRR2100843
726,SRR2100223
727,SRR1159700
728,ERR1873516
729,ERR181948
730,ERR036217
731,SRR1172822
732,ERR1035165
733,SRR1165635
734,ERR1034915
735,SRR2100692
736,SRR2100037
737,ERR176574
738,SRR1735685
739,SRR1169483
740,ERR553079
741,SRR1169145
742,SRR1175064
743,SRR1169119
744,ERR551779
745,ERR176629
746,ERR551672
747,ERR551960
748,ERR176644
749,SRR1173199
750,ERR553137
751,ERR190331
752,ERR245811
753,ERR164012
754,ERR551604
755,ERR212024
756,SRR833217
757,ERR181943
758,ERR1034842
759,ERR1213885
760,SRR2100739
761,SRR833176
762,SRR1165495
763,ERR181707
764,ERR190372
765,SRR998681
766,ERR190337
767,SRR2100808
768,SRR2101483
769,SRR2101519
770,ERR551396
771,ERR164013
772,SRR2101637
773,SRR1167369
774,ERR551490
775,SRR998856
776,SRR1181100
777,SRR2100235
778,ERR550642
779,SRR2100697
780,SRR1577834
781,SRR1167371
782,SRR2099932
783,SRR1163452
784,SRR1173405
785,SRR1180316
786,ERR037473
787,ERR037538
788,SRR3675215
789,SRR2100965
790,SRR1173124
791,SRR2101410
792,SRR2100929
793,ERR1034816
794,SRR1169217
795,SRR1163076
796,SRR1165723
797,SRR2101630
798,ERR552545
799,ERR245756
800,ERR552123
801,ERR181809
802,ERR553048
803,SRR1180998
804,SRR1146333
805,ERR553359
806,ERR1213905
807,SRR1019151
808,SRR2100861
809,ERR212097
810,SRR1159290
811,ERR553331
812,ERR552838
813,SRR1169203
814,ERR036218
815,ERR551916
816,ERR550771
817,ERR552794
818,ERR1035139
819,ERR550846
820,SRR998769
821,SRR2101248
822,SRR2100012
823,SRR2101636
824,SRR1165399
825,ERR551137
826,ERR550876
827,ERR552976
828,ERR1035015
829,SRR2100176
830,ERR550668
831,SRR1172309
832,ERR181720
833,SRR2100346
834,ERR181884
835,ERR2124098
836,ERR552065
837,ERR551926
838,ERR867534
839,ERR1035109
840,ERR400382
841,SRR671842
842,ERR551569
843,SRR3675534
844,SRR1162749
845,SRR2100878
846,ERR164009
847,ERR1873522
848,ERR229990
849,ERR229993
850,ERR216902
851,ERR552007
852,SRR1184327
853,SRR2100214
854,ERR552245
855,ERR181762
856,ERR212110
857,SRR2100768
858,SRR2101164
859,ERR181728
860,SRR1013649
861,SRR833170
862,SRR1144781
863,SRR2101264
864,SRR1048865
865,SRR1162895
866,SRR1165330
867,SRR1165601
868,SRR1180994
869,SRR1163141
870,SRR1180432
871,ERR552122
872,ERR552837
873,ERR1035066
874,ERR181799
875,SRR671865
876,ERR550617
877,ERR1034828
878,SRR1172709
879,ERR551355
880,SRR1165647
881,SRR847783
882,SRR1159952
883,ERR1035364
884,SRR1180307
885,SRR1167360
886,ERR551879
887,SRR1162876
888,ERR1034765
889,ERR221555
890,ERR1034973
891,SRR1062940
892,ERR176652
893,ERR551232
894,SRR1180292
895,ERR176755
896,SRR2101004
897,ERR1034948
898,SRR2101727
899,ERR551091
900,ERR1035170
901,SRR1144728
902,SRR1162803
903,SRR1163052
904,ERR1873526
905,ERR553168
906,SRR2101369
907,ERR551824
908,SRR671781
909,ERR182010
910,ERR1873474
911,SRR2100162
912,ERR176680
913,ERR553061
914,ERR182037
915,SRR2100418
916,ERR181979
917,SRR2100664
918,ERR552202
919,SRR1172151
920,ERR1873470
921,ERR1034821
922,SRR2099989
923,ERR550669
924,SRR1163223
925,SRR1180990
926,ERR245651
927,ERR552293
928,ERR181873
929,SRR1166126
930,ERR181869
931,ERR161050
932,ERR1213950
933,ERR181860
934,ERR181827
935,ERR1873455
936,SRR1169192
937,ERR552884
938,ERR164019
939,SRR1159521
940,ERR181945
941,SRR2100083
942,ERR551358
943,ERR176457
944,SRR2101216
945,SRR2101304
946,SRR998697
947,SRR2100523
948,SRR1184367
949,SRR1181300
950,ERR498376
951,SRR1169103
952,ERR552104
953,ERR551460
954,ERR176458
955,SRR998628
956,SRR1173456
957,SRR1146382
958,ERR067719
959,SRR2101102
960,SRR1049583
961,SRR2099949
962,SRR1183146
963,SRR1169003
964,SRR1162881
965,ERR552235
966,SRR1163167
967,SRR1165264
968,ERR551343
969,SRR2101819
970,ERR552924
971,ERR1034985
972,ERR036200
973,ERR161175
974,SRR2101437
975,SRR1165474
976,SRR1167166
977,ERR552091
978,ERR176761
979,ERR552742
980,SRR1144799
981,SRR1163353
982,SRR2100978
983,ERR552639
984,SRR2469373
985,SRR1172940
986,ERR553049
987,SRR1159747
988,SRR2100854
989,SRR1146412
990,ERR190335
991,ERR163985
992,SRR1175038
993,ERR176505
994,SRR1181059
995,ERR551019
996,ERR688042
997,SRR1049724
998,SRR1013552
999,ERR221572
1000,SRR1181316
1001,SRR1146379
1002,SRR1165588
1003,ERR552910
1004,ERR553160
1005,SRR1159286
1006,ERR551645
1007,SRR1103621
1008,SRR1167372
1009,SRR671802
1010,SRR1173005
1011,ERR181737
1012,SRR1172827
1013,ERR551917
1014,SRR1173440
1015,SRR1172881
1016,SRR1049060
1017,SRR2100845
1018,SRR1159877
1019,ERR1035093
1020,SRR1162535
1021,SRR2101751
1022,SRR2101350
1023,ERR245714
1024,SRR1172744
1025,ERR1873499
1026,ERR553172
1027,SRR2100541
1028,ERR1873500
1029,SRR998633
1030,SRR1165653
1031,SRR1162977
1032,ERR229971
1033,ERR221567
1034,ERR552514
1035,ERR176654
1036,SRR1049658
1037,SRR1181125
1038,SRR3675583
1039,SRR1002683
1040,SRR998616
1041,SRR2101023
1042,SRR1169575
1043,ERR551777
1044,SRR2101805
1045,SRR1162755
1046,SRR1166133
1047,SRR998717
1048,ERR164011
1049,SRR2100279
1050,ERR176619
1051,ERR551361
1052,SRR1048978
1053,ERR1035314
1054,ERR2124100
1055,SRR1173046
1056,SRR1181127
1057,SRR1162513
1058,ERR1873462
1059,SRR3675587
1060,SRR1174826
1061,SRR1172999
1062,SRR1048846
1063,SRR1180295
1064,ERR182025
1065,SRR1183008
1066,SRR1169087
1067,ERR1035288
1068,SRR2101062
1069,ERR1873518
1070,ERR176496
1071,ERR1213859
1072,ERR552434
1073,SRR1159661
1074,ERR212050
1075,ERR1034851
1076,ERR1035094
1077,ERR1035095
1078,SRR1163302
1079,SRR1162750
1080,SRR1162834
1081,SRR2101713
1082,SRR2100265
1083,SRR1180180
1084,ERR245696
1085,ERR176696
1086,SRR2101646
1087,ERR190334
1088,SRR1165271
1089,ERR234598
1090,SRR1181030
1091,ERR552101
1092,SRR1180392
1093,ERR551236
1094,ERR212088
1095,ERR181875
1096,SRR833055
1097,SRR1159359
1098,ERR229989
1099,ERR2124085
1100,SRR1013647
1101,ERR161060
1102,SRR1019150
1103,SRR833181
1104,SRR2101043
1105,ERR176725
1106,SRR998698
1107,SRR2099933
1108,SRR1163314
1109,ERR221539
1110,ERR1873525
1111,SRR1169088
1112,ERR550886
1113,SRR1183963
1114,ERR161193
1115,SRR2100130
1116,SRR2100460
1117,ERR181942
1118,ERR553262
1119,SRR671753
1120,SRR1577823
1121,SRR2100076
1122,SRR1180395
1123,SRR1163376
1124,SRR1169219
1125,SRR1175091
1126,ERR1213941
1127,ERR551557
1128,SRR1172716
1129,SRR1011492
1130,SRR1144834
1131,SRR2100944
1132,SRR1577820
1133,ERR245836
1134,ERR552131
1135,ERR1873398
1136,SRR1184371
1137,SRR1169487
1138,ERR161082
1139,SRR1181168
1140,SRR2100998
1141,ERR551690
1142,ERR1035065
1143,SRR1180186
1144,ERR1034907
1145,ERR228054
1146,SRR1013679
1147,SRR2100583
1148,ERR176807
1149,SRR924696
1150,ERR212087
1151,ERR245649
1152,ERR067736
1153,ERR181915
1154,SRR2100058
1155,SRR1173446
1156,ERR181802
1157,ERR176515
1158,ERR1035347
1159,SRR1181141
1160,SRR2101260
1161,ERR216940
1162,ERR551468
1163,ERR551143
1164,ERR895346
1165,SRR1169508
1166,SRR1181082
1167,SRR1180429
1168,SRR1165630
1169,SRR1019133
1170,SRR1162529
1171,ERR176753
1172,ERR1035329
1173,ERR552544
1174,ERR552042
1175,ERR1035363
1176,ERR1035222
1177,ERR552584
1178,ERR552218
1179,SRR1165241
1180,SRR1163086
1181,ERR551282
1182,SRR2101733
1183,ERR1035085
1184,ERR553388
1185,SRR2100039
1186,SRR1103453
1187,SRR671852
1188,SRR2469377
1189,SRR1163293
1190,ERR552019
1191,SRR2101120
1192,ERR1036275
1193,SRR1173686
1194,ERR551878
1195,SRR2100438
1196,SRR833006
1197,SRR1049009
1198,SRR1184337
1199,SRR2100062
1200,SRR2100585
1201,ERR552795
1202,ERR552148
1203,SRR2100008
1204,ERR036246
1205,SRR671796
1206,ERR221594
1207,SRR1159362
1208,ERR551062
1209,ERR190362
1210,SRR1172848
1211,SRR2100869
1212,ERR190364
1213,ERR2124106
1214,ERR553132
1215,ERR1873507
1216,ERR551707
1217,SRR1140569
1218,ERR552137
1219,ERR161106
1220,ERR550739
1221,ERR1034991
1222,SRR1165666
1223,SRR1165403
1224,SRR671740
1225,ERR551679
1226,ERR552606
1227,SRR1048009
1228,ERR551946
1229,SRR2100335
1230,ERR551581
1231,ERR245763
1232,SRR3675238
1233,SRR1013640
1234,SRR2100694
1235,SRR1180273
1236,ERR1034730
1237,ERR181675
1238,ERR230001
1239,SRR1172720
1240,SRR671857
1241,ERR1034903
1242,ERR176640
1243,SRR671720
1244,SRR833050
1245,ERR551742
1246,ERR1035211
1247,ERR552209
1248,ERR1873434
1249,ERR1873456
1250,SRR2099955
1251,SRR1013669
1252,SRR2100175
1253,SRR2100211
1254,SRR1172797
1255,ERR551473
1256,SRR1167286
1257,SRR671858
1258,SRR2101143
1259,SRR2099988
1260,SRR1173001
1261,ERR212104
1262,SRR1047989
1263,SRR1173219
1264,SRR2101614
1265,SRR1162842
1266,ERR551697
1267,ERR2124087
1268,SRR2469380
1269,SRR1165691
1270,SRR2101609
1271,SRR2101114
1272,ERR1034921
1273,SRR1159895
1274,SRR2101038
1275,SRR2100311
1276,SRR1172904
1277,ERR221536
1278,ERR1873533
1279,SRR1165670
1280,ERR229953
1281,SRR998582
1282,SRR1062909
1283,SRR2101021
1284,SRR1173361
1285,SRR2101279
1286,SRR1175056
1287,SRR1047983
1288,SRR1577824
1289,ERR182034
1290,SRR2100359
1291,ERR212089
1292,SRR1172823
1293,ERR133861
1294,ERR181776
1295,SRR1169130
1296,ERR181697
1297,SRR1165672
1298,ERR212060
1299,SRR1167265
1300,SRR833044
1301,SRR1062883
1302,ERR230003
1303,ERR212117
1304,ERR176650
1305,ERR552693
1306,ERR550960
1307,ERR1034760
1308,SRR2101416
1309,SRR1169533
1310,SRR2100195
1311,ERR182052
1312,SRR1049056
1313,SRR1062932
1314,ERR181920
1315,SRR1172174
1316,SRR2101657
1317,SRR1162848
1318,ERR553394
1319,SRR1162873
1320,SRR1167303
1321,SRR1165638
1322,SRR2101041
1323,SRR2100417
1324,SRR1172801
1325,SRR671812
1326,SRR1173175
1327,SRR998644
1328,SRR1146277
1329,ERR552178
1330,SRR1163041
1331,SRR833002
1332,SRR833039
1333,SRR1172732
1334,SRR671756
1335,SRR1165516
1336,SRR671738
1337,ERR182008
1338,SRR1165323
1339,SRR1172901
1340,SRR2100958
1341,ERR1035005
1342,SRR1181150
1343,ERR551694
1344,ERR161109
1345,SRR1163291
1346,ERR181867
1347,SRR2099938
1348,ERR551822
1349,SRR1163338
1350,SRR2101445
1351,SRR2101302
1352,SRR1144724
1353,SRR1166910
1354,ERR1035216
1355,ERR176589
1356,SRR2101686
1357,SRR1019162
1358,ERR181815
1359,SRR1062870
1360,ERR552112
1361,SRR1169248
1362,SRR1172065
1363,ERR551612
1364,ERR1873491
1365,ERR552180
1366,SRR2101650
1367,SRR1173730
1368,ERR1036290
1369,SRR2100919
1370,ERR552872
1371,ERR551149
1372,SRR2101311
1373,SRR1173029
1374,SRR1163329
1375,SRR2100651
1376,SRR671826
1377,SRR1169242
1378,ERR551828
1379,SRR1062915
1380,SRR998756
1381,SRR1013580
1382,SRR1172993
1383,SRR3675590
1384,ERR190410
1385,SRR2101053
1386,ERR551250
1387,SRR2100347
1388,SRR1167298
1389,SRR1169175
1390,SRR1173252
1391,ERR161021
1392,SRR1173145
1393,ERR553251
1394,ERR553054
1395,ERR1034829
1396,SRR998629
1397,ERR1873529
1398,SRR1167300
1399,SRR3675388
1400,SRR1166819
1401,SRR2101262
1402,SRR1166911
1403,ERR551962
1404,ERR551099
1405,ERR867532
1406,ERR1034988
1407,ERR551477
1408,SRR1184328
1409,SRR1049752
1410,ERR1873528
1411,SRR2100539
1412,ERR212127
1413,ERR400518
1414,SRR2101554
1415,SRR2101670
1416,SRR847786
1417,SRR2100278
1418,SRR1167309
1419,ERR1035120
1420,ERR181902
1421,ERR552334
1422,SRR1062908
1423,SRR1172739
1424,ERR1213833
1425,ERR552504
1426,SRR1144758
1427,ERR552080
1428,SRR2100935
1429,SRR2101594
1430,SRR1163412
1431,SRR1165654
1432,ERR553043
1433,ERR245687
1434,SRR2101175
1435,SRR2100034
1436,SRR2099998
1437,SRR1167334
1438,SRR1166157
1439,ERR190355
1440,ERR552913
1441,ERR1213853
1442,SRR1166916
1443,ERR2145490
1444,ERR221581
1445,ERR1034872
1446,SRR1167275
1447,SRR1165661
1448,SRR1169136
1449,SRR2100658
1450,SRR1180266
1451,ERR551098
1452,ERR181851
1453,SRR2100406
1454,SRR1167279
1455,SRR1049586
1456,SRR1173674
1457,SRR1165272
1458,ERR551503
1459,SRR2100635
1460,SRR1180405
1461,ERR161197
1462,ERR551894
1463,ERR245650
1464,ERR550738
1465,ERR553033
1466,SRR1167324
1467,ERR551981
1468,SRR2101528
1469,SRR1169170
1470,ERR552525
1471,ERR176599
1472,ERR552346
1473,SRR1180434
1474,ERR067682
1475,ERR1873445
1476,ERR552922
1477,SRR833115
1478,SRR2100328
1479,SRR1172182
1480,SRR2100776
1481,ERR551580
1482,SRR1165478
1483,SRR1049646
1484,ERR553393
1485,SRR1169518
1486,ERR181947
1487,ERR551373
1488,ERR161120
1489,SRR833061
1490,ERR176638
1491,ERR1035246
1492,ERR176476
1493,ERR552570
1494,SRR1735707
1495,ERR245708
1496,ERR176452
1497,ERR552699
1498,SRR1181213
1499,ERR176553
1500,ERR176601
1501,SRR1172899
1502,SRR1174836
1503,ERR036249
1504,SRR1144762
1505,SRR1019163
1506,SRR2100206
1507,SRR1172793
1508,ERR037470
1509,SRR1049686
1510,SRR1577835
1511,ERR551455
1512,SRR2100500
1513,SRR1180424
1514,ERR1035142
1515,ERR552828
1516,ERR1035140
1517,SRR1146312
1518,SRR1166123
1519,SRR2101474
1520,ERR552194
1521,SRR2101263
1522,ERR1034767
1523,SRR2100640
1524,SRR1013653
1525,SRR1163397
1526,SRR1159237
1527,SRR2100921
1528,ERR245747
1529,SRR2100110
1530,SRR1049630
1531,ERR182004
1532,SRR1011471
1533,SRR2100216
1534,SRR1013642
1535,SRR2100864
1536,SRR1165600
1537,SRR2100678
1538,SRR833071
1539,ERR550983
1540,SRR1169073
1541,SRR832984
1542,ERR553152
1543,SRR1049572
1544,ERR551546
1545,SRR2101615
1546,SRR2101440
1547,ERR551582
1548,SRR671803
1549,ERR551703
1550,ERR1213878
1551,SRR1167385
1552,ERR176621
1553,ERR551556
1554,SRR1175492
1555,ERR550673
1556,ERR036220
1557,SRR2101589
